Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
1,Antony,br BRA,FW,Manchester Utd,23,2000,14.7,55,3.74,45,1,2,0,4,3,3,0.2,1,0,0,0,0,2,Matches
2,James Garner,eng ENG,MF,Everton,22,2001,33.4,98,2.94,58,22,3,6,4,5,8,0.24,3,1,0,1,1,2,Matches
3,Cole Palmer,eng ENG,"FW,MF",Chelsea,21,2002,29,162,5.59,116,12,14,10,5,5,26,0.9,20,0,1,2,1,2,Matches
4,Simon Adingra,ci CIV,FW,Brighton,21,2002,24.7,77,3.12,51,1,13,7,3,2,4,0.16,3,0,0,0,0,1,Matches
5,Rodrigo Bentancur,uy URU,MF,Tottenham,26,1997,11.2,31,2.78,26,0,1,2,0,2,4,0.36,3,0,0,0,0,1,Matches
6,Jarrod Bowen,eng ENG,FW,West Ham,26,1996,33.5,81,2.42,55,7,6,5,6,2,12,0.36,9,1,0,1,0,1,Matches
7,Moisés Caicedo,ec ECU,MF,Chelsea,21,2001,31.8,66,2.07,52,0,3,1,6,4,12,0.38,11,0,0,0,0,1,Matches
8,Lewis Cook,eng ENG,MF,Bournemouth,26,1997,31,77,2.49,48,22,2,2,0,3,4,0.13,3,0,0,0,0,1,Matches
9,Matheus Cunha,br BRA,"FW,MF",Wolves,24,1999,27.1,78,2.88,46,1,12,8,8,3,13,0.48,9,0,1,1,1,1,Matches
10,Tom Davies,eng ENG,MF,Sheffield Utd,25,1998,2.5,6,2.44,4,0,0,1,0,1,1,0.41,0,0,0,0,0,1,Matches
11,Rúben Dias,pt POR,DF,Manchester City,26,1997,28.4,35,1.23,28,0,0,5,0,2,4,0.14,2,0,0,1,0,1,Matches
12,Jhon Durán,co COL,"FW,MF",Aston Villa,19,2003,5.3,12,2.27,8,0,1,1,1,1,4,0.76,1,0,1,0,1,1,Matches
