Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
251,Joško Gvardiol,hr CRO,DF,Manchester City,21,2002,25.9,4,32,13,40.6,1.24,0.5,0.13,0.31,15.6,0,0,0,3.1,3.1,0.1,+0.9,+0.9,Matches
252,Antwoine Hackford,eng ENG,FW,Sheffield Utd,19,2004,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
253,Lewis Hall,eng ENG,DF,Newcastle Utd,18,2004,8.7,1,11,4,36.4,1.27,0.46,0.09,0.25,20.8,0,0,0,0.3,0.3,0.03,+0.7,+0.7,Matches
254,Gustavo Hamer,nl NED,MF,Sheffield Utd,26,1997,32.3,4,49,13,26.5,1.52,0.4,0.08,0.31,23.5,6,0,0,3,3,0.06,+1.0,+1.0,Matches
255,Luke Harris,wls WAL,MF,Fulham,18,2005,0.8,0,1,1,100,1.2,1.2,0,0,11.2,0,0,0,0.3,0.3,0.28,-0.3,-0.3,Matches
256,Jack Harrison,eng ENG,"MF,FW",Everton,26,1996,24.6,3,34,9,26.5,1.38,0.37,0.09,0.33,17.8,1,0,0,3.6,3.6,0.11,-0.6,-0.6,Matches
257,Daiki Hashioka,jp JPN,DF,Luton Town,24,1999,6.6,0,2,0,0,0.3,0,0,,18.1,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
258,Jan Paul van Hecke,nl NED,DF,Brighton,23,2000,26.3,0,15,6,40,0.57,0.23,0,0,11.3,0,0,0,1.2,1.2,0.08,-1.2,-1.2,Matches
259,Dean Henderson,eng ENG,GK,Crystal Palace,26,1997,18,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
260,Rico Henry,eng ENG,DF,Brentford,26,1997,4.5,0,2,0,0,0.45,0,0,,19.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
261,Aaron Hickey,sct SCO,DF,Brentford,21,2002,7.9,0,7,1,14.3,0.88,0.13,0,0,25.3,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
262,James Hill,eng ENG,DF,Bournemouth,21,2002,0.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
263,Jack Hinshelwood,eng ENG,DF,Brighton,18,2005,9.7,3,14,8,57.1,1.45,0.83,0.21,0.38,9.2,0,0,0,1.9,1.9,0.14,+1.1,+1.1,Matches
264,Mason Holgate,eng ENG,DF,Sheffield Utd,26,1996,7.9,0,3,0,0,0.38,0,0,,6.5,0,0,0,0.6,0.6,0.22,-0.6,-0.6,Matches
265,Callum Hudson-Odoi,eng ENG,"FW,MF",Nott'ham Forest,22,2000,20.6,8,38,20,52.6,1.84,0.97,0.21,0.4,18.3,1,0,0,2.7,2.7,0.07,+5.3,+5.3,Matches
266,Will Hughes,eng ENG,MF,Crystal Palace,28,1995,21,0,8,3,37.5,0.38,0.14,0,0,18.3,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
267,Pierre Højbjerg,dk DEN,MF,Tottenham,27,1995,14.6,0,19,6,31.6,1.3,0.41,0,0,26.5,3,0,0,0.7,0.7,0.04,-0.7,-0.7,Matches
268,Rasmus Højlund,dk DEN,FW,Manchester Utd,20,2003,24,10,38,20,52.6,1.58,0.83,0.26,0.5,11.6,0,0,0,7.6,7.6,0.2,+2.4,+2.4,Matches
269,Igor,br BRA,DF,Brighton,25,1998,18.2,0,5,0,0,0.27,0,0,,21,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
270,Danny Ings,eng ENG,FW,West Ham,31,1992,4.5,1,12,4,33.3,2.67,0.89,0.08,0.25,13.4,0,0,0,1.3,1.3,0.11,-0.3,-0.3,Matches
271,Tim Iroegbunam,eng ENG,MF,Aston Villa,20,2003,1.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
272,Alex Iwobi,ng NGA,MF,Everton,27,1996,1.6,0,4,2,50,2.57,1.29,0,0,16.2,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
273,Alex Iwobi,ng NGA,"FW,MF",Fulham,27,1996,24.4,5,51,18,35.3,2.09,0.74,0.1,0.28,18.5,0,0,0,5.3,5.3,0.1,-0.3,-0.3,Matches
274,Nicolas Jackson,sn SEN,FW,Chelsea,22,2001,31.1,14,80,38,47.5,2.57,1.22,0.18,0.37,12.6,0,0,0,18.6,18.6,0.23,-4.6,-4.6,Matches
275,Reece James,eng ENG,DF,Chelsea,23,1999,4.7,0,7,1,14.3,1.5,0.21,0,0,20.9,3,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
276,Vitaly Janelt,de GER,"MF,DF",Brentford,25,1998,33.9,1,21,7,33.3,0.62,0.21,0.05,0.14,18,0,0,0,1.8,1.8,0.08,-0.8,-0.8,Matches
277,Daniel Jebbison,eng ENG,FW,Sheffield Utd,19,2003,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
278,Mathias Jensen,dk DEN,MF,Brentford,27,1996,24.5,3,14,7,50,0.57,0.29,0.21,0.43,26.7,3,0,0,0.7,0.7,0.05,+2.3,+2.3,Matches
279,Gabriel Jesus,br BRA,FW,Arsenal,26,1997,16.4,4,55,19,34.5,3.35,1.16,0.07,0.21,12.2,0,0,0,6.3,6.3,0.12,-2.3,-2.3,Matches
280,Raúl Jiménez,mx MEX,FW,Fulham,32,1991,15.5,7,41,17,41.5,2.65,1.1,0.17,0.41,14.7,0,0,0,5.2,5.2,0.13,+1.8,+1.8,Matches
281,Joelinton,br BRA,"MF,FW",Newcastle Utd,26,1996,14.2,2,19,7,36.8,1.34,0.49,0.11,0.29,15.5,0,0,0,3.1,3.1,0.16,-1.1,-1.1,Matches
282,Ryan John Giles,eng ENG,"DF,MF",Luton Town,23,2000,5.6,0,2,2,100,0.36,0.36,0,0,14.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
283,Ben Johnson,eng ENG,"DF,FW",West Ham,23,2000,6,0,6,2,33.3,0.99,0.33,0,0,24.1,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
284,Brennan Johnson,wls WAL,FW,Tottenham,22,2001,23.2,5,50,19,38,2.16,0.82,0.1,0.26,12.9,0,0,0,10.3,10.3,0.21,-5.3,-5.3,Matches
285,Brennan Johnson,wls WAL,"FW,MF",Nott'ham Forest,22,2001,2.6,0,3,0,0,1.14,0,0,,19.7,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches
286,Joseph Johnson,eng ENG,DF,Luton Town,17,2006,0.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
287,Sam Johnstone,eng ENG,GK,Crystal Palace,30,1993,20,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
288,Curtis Jones,eng ENG,MF,Liverpool,22,2001,13,1,19,5,26.3,1.47,0.39,0.05,0.2,16.2,0,0,0,2.6,2.6,0.14,-1.6,-1.6,Matches
289,Jorginho,it ITA,MF,Arsenal,31,1991,10.2,0,4,0,0,0.39,0,0,,24.6,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
290,Diogo Jota,pt POR,FW,Liverpool,26,1996,12.7,10,41,19,46.3,3.22,1.49,0.24,0.53,12.3,0,0,0,5.3,5.3,0.13,+4.7,+4.7,Matches
291,Mads Juel Andersen,dk DEN,DF,Luton Town,25,1997,4.4,1,3,1,33.3,0.68,0.23,0.33,1,9.2,0,0,0,0.3,0.3,0.09,+0.7,+0.7,Matches
292,Hamed Junior Traorè,ci CIV,MF,Bournemouth,23,2000,0.5,0,3,2,66.7,5.74,3.83,0,0,25.9,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
293,Mathias Jørgensen,dk DEN,DF,Brentford,33,1990,12.1,1,8,2,25,0.66,0.17,0.13,0.5,14.2,0,0,0,0.7,0.7,0.09,+0.3,+0.3,Matches
294,Issa Kaboré,bf BFA,DF,Luton Town,22,2001,19.2,0,6,1,16.7,0.31,0.05,0,0,15.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
295,Sasa Kalajdzic,at AUT,FW,Wolves,26,1997,1.8,2,4,2,50,2.17,1.08,0.5,1,11.2,0,0,0,1.1,1.1,0.26,+0.9,+0.9,Matches
296,Boubacar Kamara,fr FRA,MF,Aston Villa,23,1999,18.4,0,5,1,20,0.27,0.05,0,0,16.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
297,Willy Kambwala,fr FRA,DF,Manchester Utd,18,2004,3.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
298,Thomas Kaminski,be BEL,GK,Luton Town,30,1992,37.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
299,Loris Karius,de GER,GK,Newcastle Utd,30,1993,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
300,Michael Keane,eng ENG,DF,Everton,30,1993,4.9,1,6,4,66.7,1.23,0.82,0.17,0.25,10.8,0,0,0,0.7,0.7,0.12,+0.3,+0.3,Matches
301,Thilo Kehrer,de GER,"DF,MF",West Ham,26,1996,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
302,Caoimhín Kelleher,ie IRL,GK,Liverpool,24,1998,10,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
303,Lloyd Kelly,eng ENG,DF,Bournemouth,24,1998,17.3,0,4,1,25,0.23,0.06,0,0,8.6,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
304,Omari Kellyman,eng ENG,FW,Aston Villa,17,2005,0.4,0,1,0,0,2.43,0,0,,20.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
305,Milos Kerkez,hu HUN,DF,Bournemouth,19,2003,21.9,0,16,5,31.3,0.73,0.23,0,0,19.3,0,0,0,1.2,1.2,0.08,-1.2,-1.2,Matches
306,Kaine Kesler-Hayden,eng ENG,"MF,DF",Aston Villa,20,2002,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
307,Max Kilman,eng ENG,DF,Wolves,26,1997,38,2,14,5,35.7,0.37,0.13,0.14,0.4,9.8,0,0,0,1.8,1.8,0.13,+0.2,+0.2,Matches
308,Jakub Kiwior,pl POL,DF,Arsenal,23,2000,10.5,1,6,2,33.3,0.57,0.19,0.17,0.5,13.8,0,0,0,0.8,0.8,0.14,+0.2,+0.2,Matches
309,Justin Kluivert,nl NED,"MF,FW",Bournemouth,24,1999,21.3,7,56,20,35.7,2.63,0.94,0.13,0.35,17.4,3,0,0,6.2,6.2,0.11,+0.8,+0.8,Matches
