Cash	(D)	AVL	£4.6	24 (4)	1764	29	13	22	6	4.09	2	14%	6%	6.3	3	11	6	2.26	1	92.16	302	4	57
Mbeumo	(M)	BRE	£6.7	15 (0)	1288	41	17	30	13	8.42	7	43%	48%	12.3	11	22	2	3.88	4	91.77	250	9	87
Gibbs-White	(M)	NFO	£5.7	26 (2)	2216	47	10	25	4	4.64	3	26%	28%	8.5	9	44	7	3.83	6	91.55	340	4	84
Sterling	(M)	CHE	£6.9	24 (4)	1748	40	15	31	14	5.28	6	21%	33%	9.0	13	24	5	3.73	7	90.94	261	6	101
João Pedro	(F)	BHA	£5.3	23 (11)	1391	48	19	44	9	8.65	8	29%	24%	11.6	10	21	5	2.95	2	90.76	322	11	83
Morris	(F)	LUT	£5.1	26 (6)	1787	49	20	43	12	7.85	8	27%	38%	9.1	14	18	4	1.22	6	90.35	340	15	109
Rodrigo	(M)	MCI	£5.6	24 (0)	2080	51	17	20	3	3.28	6	15%	20%	8.0	12	34	6	4.69	6	90.11	501	14	108
Pickford	(G)	EVE	£4.6	27 (0)	2430	0	0	0	0	0	0	1%	0%	0.3	0	4	0	0.31	0	89.78	486	12	97
Trippier	(D)	NEW	£6.9	25 (0)	2167	8	2	1	1	0.65	1	16%	21%	7.5	11	63	13	6.9	10	88.71	574	20	108
Bailey	(M)	AVL	£5.7	25 (11)	1337	40	15	29	5	4.42	8	21%	34%	10.0	17	36	9	5.58	9	88.48	358	8	111
Calvert-Lewin	(F)	EVE	£5.8	23 (4)	1563	51	17	44	14	9.06	3	27%	19%	9.7	5	15	2	0.65	2	88.35	131	3	61
Enzo	(M)	CHE	£4.8	23 (2)	1787	40	14	18	9	5.2	3	21%	10%	8.7	4	24	5	3.47	1	87.93	295	4	62
Almirón	(M)	NEW	£6.1	27 (5)	1780	39	10	27	7	4.47	3	12%	7%	6.5	4	21	5	1.99	1	87.91	256	4	71
Bernardo	(M)	MCI	£6.3	23 (3)	1807	28	12	21	5	2.83	6	17%	18%	8.7	10	50	10	5.87	4	87.35	444	16	100
Virgil	(D)	LIV	£6.4	25 (0)	2188	28	10	26	4	2.13	2	5%	7%	3.0	4	9	3	0.85	2	87.32	499	8	98
Alexander-Arnold	(D)	LIV	£8.5	21 (2)	1626	30	4	8	2	1.98	2	14%	16%	6.5	7	53	13	4.51	5	86.28	473	18	103
Souček	(M)	WHU	£4.9	26 (2)	2059	33	11	32	12	5.4	6	16%	17%	6.0	7	8	3	0.61	1	86.12	331	6	89
Trafford	(G)	BUR	£4.5	27 (0)	2430	0	0	0	0	0	0	0%	0%	0.0	0	0	0	0.04	0	85.86	520	5	69
McNeil	(M)	EVE	£5.4	24 (2)	1928	38	12	17	3	2.47	2	19%	24%	7.4	7	41	13	4.95	5	85.55	326	6	82
Kulusevski	(M)	TOT	£6.8	24 (1)	2031	41	18	34	4	3.41	6	20%	16%	8.6	8	50	9	5.17	2	85.54	340	11	94
Tarkowski	(D)	EVE	£4.6	27 (0)	2429	18	4	16	4	1.78	1	9%	7%	3.7	2	17	4	1.91	1	85.13	464	6	83
Bruno G.	(M)	NEW	£5.8	26 (0)	2288	31	9	16	4	2.7	3	14%	14%	7.0	8	39	8	4.32	5	84.86	423	6	88
Onana	(G)	MUN	£4.8	27 (0)	2430	0	0	0	0	0	0	0%	0%	0.1	0	2	0	0.05	0	84.64	520	6	94
Leno	(G)	FUL	£4.8	27 (0)	2430	0	0	0	0	0	0	0%	0%	0.0	0	0	0	0	0	84.26	556	13	97
Garnacho	(M)	MUN	£5	25 (6)	1687	63	17	49	5	5.13	5	20%	24%	7.3	8	35	5	2.13	3	83.99	250	5	85
A.Doucoure	(M)	EVE	£5.5	21 (0)	1782	34	18	28	13	6.36	6	22%	32%	7.4	8	27	2	1.01	2	83.66	259	7	86
Wissa	(F)	BRE	£5.6	23 (3)	1751	49	18	42	12	7.18	6	22%	26%	8.6	8	19	4	1.37	2	83.43	253	8	78
Flekken	(G)	BRE	£4.5	26 (0)	2295	0	0	0	0	0	0	0%	3%	0.1	1	1	1	0.09	1	83.33	473	5	75
Hee Chan	(M)	WOL	£5.5	22 (3)	1623	36	13	31	12	6.18	10	29%	39%	8.6	13	15	4	2.43	3	82.79	287	10	105
Trossard	(M)	ARS	£6.5	23 (14)	934	38	12	25	9	5.19	7	15%	16%	6.8	9	13	2	1.66	2	82.57	226	8	85
Schär	(D)	NEW	£5.4	27 (0)	2354	29	8	16	4	2.24	3	7%	11%	3.4	6	7	2	1.19	3	82.31	503	10	96
Martinez	(G)	AVL	£5.3	26 (0)	2340	0	0	0	0	0	0	0%	0%	0.0	0	2	0	0.01	0	81.22	493	12	86
Tavernier	(M)	BOU	£5.4	23 (3)	1718	44	13	23	5	3.5	2	20%	18%	6.8	6	35	7	3.34	4	81.08	264	5	73
Dunk	(D)	BHA	£5.1	23 (0)	2017	28	9	22	3	2.97	3	13%	9%	5.1	4	11	1	2.12	1	80.61	377	7	60
Garner	(M)	EVE	£4.9	26 (1)	2238	31	10	11	1	2.16	1	13%	12%	5.2	3	34	8	3.01	2	80.27	336	3	67
Andersen	(D)	CRY	£4.7	27 (0)	2429	17	8	14	3	1.29	2	9%	12%	2.6	4	13	2	1.34	2	80.1	467	9	83
Szoboszlai	(M)	LIV	£7.1	22 (2)	1677	42	10	9	1	2.1	3	12%	15%	6.0	7	37	5	3.91	4	79.83	364	7	83
Vicario	(G)	TOT	£5.3	26 (0)	2340	0	0	0	0	0	0	0%	0%	0.0	0	0	0	0	0	79.77	497	8	81
Willian	(M)	FUL	£5.3	22 (4)	1502	37	16	20	6	4.46	4	24%	20%	7.3	7	31	4	2.86	3	79.72	297	6	76
Nørgaard	(M)	BRE	£5.3	25 (0)	2148	32	6	22	5	3.5	2	13%	9%	5.6	3	21	5	2.09	1	79.53	356	3	62
Pedro Porro	(D)	TOT	£5.7	23 (0)	2067	37	6	17	2	2.21	0	17%	16%	6.9	8	39	10	4.73	8	79.28	510	13	87
