Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Mis,Dis,Rec,Prog,Matches
41,César Azpilicueta,es ESP,DF,Chelsea,32,1989,17,1245,84,424,510,319,25,1245,13,7,53.8,12,5,753,81,Matches
42,Benoît Badiashile,fr FRA,DF,Chelsea,21,2001,10.1,945,95,469,458,25,11,945,3,1,33.3,2,3,689,2,Matches
43,Leon Bailey,jm JAM,"FW,MF",Aston Villa,24,1997,21.9,813,16,91,283,456,89,813,111,40,36,48,53,561,182,Matches
44,Stefan Bajcetic,es ESP,MF,Liverpool,17,2004,5.8,324,6,66,189,74,5,324,16,7,43.8,7,6,204,1,Matches
45,Dominic Ballard,eng ENG,"FW,MF",Southampton,17,2005,0.3,11,0,2,4,5,0,11,2,0,0,3,1,7,1,Matches
46,Patrick Bamford,eng ENG,FW,Leeds United,28,1993,16.8,550,19,34,257,266,83,548,34,11,32.4,56,21,386,96,Matches
47,Shandon Baptiste,gd GRN,MF,Brentford,24,1998,6.9,373,12,87,196,97,7,373,13,6,46.2,16,8,247,23,Matches
48,Harvey Barnes,eng ENG,"FW,MF",Leicester City,24,1997,30.1,1143,17,128,435,600,133,1143,91,27,29.7,75,42,900,257,Matches
49,Gavin Bazunu,ie IRL,GK,Southampton,20,2002,32,1253,910,1234,19,0,0,1253,0,0,,0,0,599,0,Matches
50,Mads Bech Sørensen,dk DEN,"DF,MF",Brentford,23,1999,0.2,14,1,4,8,2,0,14,0,0,,0,0,5,0,Matches
51,Jan Bednarek,pl POL,DF,Southampton,26,1996,18.6,1127,205,635,460,37,14,1127,2,1,50,2,1,605,2,Matches
52,Jan Bednarek,pl POL,DF,Aston Villa,26,1996,1.1,79,9,39,40,1,0,79,0,0,,0,0,53,0,Matches
53,Donny van de Beek,nl NED,MF,Manchester Utd,25,1997,1.9,72,1,3,23,46,11,72,3,2,66.7,2,2,53,20,Matches
54,Asmir Begović,ba BIH,GK,Everton,35,1987,1,33,31,33,0,0,0,33,0,0,,0,0,13,0,Matches
55,Armel Bella Kotchap,de GER,DF,Southampton,20,2001,20.9,1211,209,654,519,46,22,1211,11,4,36.4,9,6,682,2,Matches
56,Saïd Benrahma,dz ALG,"FW,MF",West Ham,26,1995,23,1091,16,131,399,583,94,1087,123,51,41.5,53,42,800,237,Matches
57,Rodrigo Bentancur,uy URU,MF,Tottenham,25,1997,16.7,1071,52,295,612,175,19,1071,34,21,61.8,22,17,732,19,Matches
58,Daniel Bentley,eng ENG,GK,Wolves,29,1993,2,87,83,87,0,0,0,87,0,0,,0,0,34,0,Matches
59,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,19,2002,9.9,607,33,234,255,123,4,607,15,7,46.7,10,10,302,24,Matches
60,Owen Bevan,wls WAL,DF,Bournemouth,18,2003,0.1,3,0,3,0,0,0,3,0,0,,0,0,1,0,Matches
61,Giulian Biancone,fr FRA,DF,Nott'ham Forest,22,2000,0.2,25,2,19,5,1,0,25,0,0,,0,0,13,1,Matches
62,Philip Billing,dk DEN,"MF,FW",Bournemouth,26,1996,30.7,1410,76,334,666,428,71,1410,47,26,55.3,42,35,900,101,Matches
63,Yves Bissouma,ml MLI,MF,Tottenham,25,1996,11.2,826,23,164,536,127,2,826,9,7,77.8,16,8,613,10,Matches
64,Willy Boly,ci CIV,DF,Nott'ham Forest,31,1991,7.6,353,69,239,101,15,9,353,2,1,50,2,0,182,0,Matches
65,Sven Botman,nl NED,DF,Newcastle Utd,22,2000,34.7,2074,338,1188,801,95,53,2074,1,1,100,10,2,1347,5,Matches
