Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
557,Chris Wood,nz NZL,FW,Nott'ham Forest,30,1991,4.1,6,1.45,4,0,0,1,1,0,0,0,0,0,0,0,0,0,Matches
558,Joe Worrall,eng ENG,DF,Nott'ham Forest,25,1997,24.7,16,0.65,14,1,0,0,1,0,0,0,0,0,0,0,0,0,Matches
559,Granit Xhaka,ch SUI,MF,Arsenal,29,1992,33.3,110,3.31,94,3,5,4,3,1,17,0.51,16,0,0,1,0,0,Matches
560,Ryan Yates,eng ENG,MF,Nott'ham Forest,24,1997,20.4,24,1.18,18,0,0,4,2,0,3,0.15,1,0,0,2,0,0,Matches
561,Ashley Young,eng ENG,DF,Aston Villa,37,1985,22.6,40,1.77,34,3,2,1,0,0,2,0.09,2,0,0,0,0,0,Matches
562,Illia Zabarnyi,ua UKR,DF,Bournemouth,19,2002,3.3,1,0.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Matches
563,Wilfried Zaha,ci CIV,"FW,MF",Crystal Palace,29,1992,25.4,91,3.58,57,0,12,4,17,1,7,0.28,6,0,0,1,0,0,Matches
564,Denis Zakaria,ch SUI,MF,Chelsea,25,1996,4.6,2,0.44,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Matches
565,Jordan Zemura,zw ZIM,DF,Bournemouth,22,1999,16.2,35,2.17,25,0,6,2,2,0,2,0.12,2,0,0,0,0,0,Matches
566,Oleksandr Zinchenko,ua UKR,DF,Arsenal,25,1996,23.5,56,2.38,49,1,0,4,1,1,4,0.17,3,0,0,1,0,0,Matches
567,Hakim Ziyech,ma MAR,"FW,MF",Chelsea,29,1993,7.3,32,4.36,25,4,1,0,1,1,3,0.41,2,1,0,0,0,0,Matches
568,Kurt Zouma,fr FRA,DF,West Ham,27,1994,22.1,9,0.41,7,1,0,1,0,0,2,0.09,1,0,0,1,0,0,Matches
569,Martin Ødegaard,no NOR,MF,Arsenal,23,1998,34.7,163,4.69,123,15,4,12,6,3,17,0.49,15,0,0,2,0,0,Matches
