Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
641,Tetê,br BRA,FW,Leicester City,22,2000,13,734,56,21.5,8.2,9,68,0,4,30,5,0.85,13,15,-2,-0.25,0.26,14.2,13.4,0.8,0.1,0.56,Matches
642,Kenny Tete,nl NED,DF,Fulham,26,1995,31,"2,569",83,75.1,28.5,29,87,21,2,19,1,1.45,42,36,6,0.21,0.63,33.4,46.8,-13.4,-0.47,-0.02,Matches
643,Luke Thomas,eng ENG,DF,Leicester City,21,2001,17,"1,073",63,31.4,11.9,11,86,8,6,21,19,0.88,14,20,-6,-0.5,-0.08,16.8,23.2,-6.4,-0.54,-0.29,Matches
644,Youri Tielemans,be BEL,MF,Leicester City,25,1997,31,"2,344",76,68.5,26,27,82,16,4,30,0,0.97,35,49,-14,-0.54,-0.29,33,45,-12,-0.46,-0.39,Matches
645,Kieran Tierney,sct SCO,DF,Arsenal,25,1997,27,795,29,23.2,8.8,6,81,3,21,15,11,2.56,16,10,6,0.68,-0.66,15.2,10.8,4.4,0.5,-0.37,Matches
646,Harry Toffolo,eng ENG,DF,Nott'ham Forest,26,1995,19,940,49,27.5,10.4,9,86,7,10,16,10,1,7,17,-10,-0.96,-0.23,9.5,18.7,-9.2,-0.88,-0.31,Matches
647,Takehiro Tomiyasu,jp JPN,DF,Arsenal,23,1998,21,663,32,19.4,7.4,6,77,3,15,14,2,2.38,17,11,6,0.81,-0.46,14.4,9,5.3,0.72,-0.08,Matches
648,James Tomkins,eng ENG,DF,Crystal Palace,33,1989,6,338,56,9.9,3.8,3,79,2,3,34,16,0.67,2,8,-6,-1.6,-1.51,2.6,6.5,-3.9,-1.03,-0.89,Matches
649,Ivan Toney,eng ENG,FW,Brentford,26,1996,33,"2,951",89,86.3,32.8,33,89,29,0,,0,1.39,47,42,5,0.15,-1.19,47.2,42.7,4.5,0.14,-0.31,Matches
650,Adama Traoré,es ESP,"FW,MF",Wolves,26,1996,34,"1,496",44,43.7,16.6,12,73,3,22,28,2,1.18,12,30,-18,-1.08,-0.66,17.6,30.2,-12.6,-0.76,-0.27,Matches
651,Bertrand Traoré,bf BFA,"FW,MF",Aston Villa,26,1995,8,233,29,6.8,2.6,1,45,0,7,27,8,1.75,6,1,5,1.93,1.93,5.8,1.8,4,1.55,1.72,Matches
652,Boubacar Traoré,ml MLI,MF,Wolves,20,2001,10,411,41,12,4.6,4,82,2,6,14,1,0.5,4,9,-5,-1.09,-0.44,3.2,7.6,-4.4,-0.97,-0.41,Matches
653,Mark Travers,ie IRL,GK,Bournemouth,23,1999,12,"1,035",86,30.3,11.5,11,90,11,1,45,26,0.5,10,32,-22,-1.91,-1.46,7.9,19.8,-11.9,-1.03,-0.53,Matches
654,Ryan Trevitt,eng ENG,MF,Brentford,19,2003,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
655,Kieran Trippier,eng ENG,DF,Newcastle Utd,31,1990,38,"3,341",88,97.7,37.1,38,88,31,0,,0,1.87,65,31,34,0.92,-0.22,70.5,37.6,32.8,0.88,1.37,Matches
656,Leandro Trossard,be BEL,FW,Arsenal,27,1994,20,931,47,27.2,10.3,10,66,1,10,27,0,1.85,29,15,14,1.35,0.23,20.1,11.3,8.8,0.85,0.09,Matches
657,Leandro Trossard,be BEL,"FW,MF",Brighton,27,1994,16,"1,315",82,38.5,14.6,16,82,5,0,,1,1.5,23,23,0,0,-0.81,20.5,19.4,1.1,0.08,-0.87,Matches
658,Kostas Tsimikas,gr GRE,DF,Liverpool,26,1996,20,771,39,22.5,8.6,9,67,2,11,15,17,1.65,14,11,3,0.35,-0.5,14.9,13.7,1.2,0.14,-0.56,Matches
659,Matt Turner,us USA,GK,Arsenal,28,1994,0,,,,,0,,0,0,,37,,,,,,,,,,,,Matches
660,Ed Turns,wls WAL,DF,Brighton,19,2002,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
661,Deniz Undav,de GER,"FW,MF",Brighton,26,1996,22,628,29,18.4,7,6,71,0,16,13,14,1.41,14,9,5,0.72,0.27,15,9.2,5.9,0.84,0.28,Matches
662,Harvey Vale,eng ENG,MF,Chelsea,18,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
663,Valery,es ESP,"DF,MF",Southampton,22,1999,1,45,45,1.3,0.5,1,45,0,0,,4,0,1,2,-1,-2,-1.04,,,,,,Matches
664,Virgil van Dijk,nl NED,DF,Liverpool,31,1991,32,"2,835",89,82.9,31.5,32,89,31,0,,1,1.91,68,36,32,1.02,1.63,60.9,40.5,20.4,0.65,0.45,Matches
665,Raphaël Varane,fr FRA,DF,Manchester Utd,29,1993,24,"1,911",80,55.9,21.2,22,85,16,2,23,6,1.96,28,22,6,0.28,-0.25,33.3,26.8,6.5,0.31,-0.34,Matches
666,Jamie Vardy,eng ENG,FW,Leicester City,35,1987,37,"1,857",50,54.3,20.6,19,74,6,18,26,1,0.92,24,38,-14,-0.68,-0.51,23.9,34.2,-10.3,-0.5,-0.36,Matches
667,Joël Veltman,nl NED,DF,Brighton,30,1992,31,"2,188",71,64,24.3,25,79,14,6,35,2,1.71,47,29,18,0.74,0.67,47.5,26.2,21.3,0.88,0.75,Matches
668,Jannik Vestergaard,dk DEN,DF,Leicester City,29,1992,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
669,Fabio Vieira,pt POR,"MF,FW",Arsenal,22,2000,22,514,23,15,5.7,3,76,0,19,15,14,2.09,13,5,8,1.4,0.25,12.1,5,7.2,1.26,0.55,Matches
670,Matías Viña,uy URU,DF,Bournemouth,24,1997,12,458,38,13.4,5.1,5,70,2,7,16,4,1.25,5,10,-5,-0.98,-0.1,6,7.7,-1.7,-0.33,0.39,Matches
671,Rúben Vinagre,pt POR,"DF,MF",Everton,23,1999,2,26,13,0.8,0.3,0,,0,2,13,19,0.5,0,0,0,0,0.61,0.1,0.3,-0.3,-0.88,-0.35,Matches
672,Carlos Vinícius,br BRA,FW,Fulham,27,1995,28,"1,109",40,32.4,12.3,11,85,7,17,10,5,1.29,18,20,-2,-0.16,-0.32,11.7,23.7,-12,-0.97,-0.75,Matches
673,Nikola Vlašić,hr CRO,"FW,MF",West Ham,24,1997,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
674,Ethan Wady,eng ENG,GK,Chelsea,20,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
675,Theo Walcott,eng ENG,"FW,MF",Southampton,33,1989,20,"1,129",56,33,12.5,13,72,2,7,28,9,0.55,15,30,-15,-1.2,-0.33,13.7,24.5,-10.8,-0.86,-0.37,Matches
676,Kyle Walker,eng ENG,DF,Manchester City,32,1990,27,"1,958",73,57.3,21.8,22,85,18,5,19,5,2.37,54,20,34,1.56,-0.1,44.9,20.4,24.5,1.13,-0.23,Matches
677,Kyle Walker-Peters,eng ENG,DF,Southampton,25,1997,31,"2,650",85,77.5,29.4,30,88,26,1,20,1,0.68,31,58,-27,-0.92,0.25,29.7,50.3,-20.6,-0.7,-0.39,Matches
678,Reuell Walters,eng ENG,DF,Arsenal,17,2004,0,,,,,0,,0,0,,8,,,,,,,,,,,,Matches
679,Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,24,1997,19,"1,435",76,42,15.9,16,87,12,3,15,7,2.21,28,10,18,1.13,1.26,35,19.3,15.7,0.98,0.91,Matches
680,Danny Ward,wls WAL,GK,Leicester City,29,1993,26,"2,340",90,68.4,26,26,90,26,0,,9,0.92,37,46,-9,-0.35,0.32,32.9,43.1,-10.1,-0.39,-0.17,Matches
681,Joel Ward,eng ENG,DF,Crystal Palace,32,1989,28,"2,256",81,66,25.1,24,89,22,4,30,7,1.36,34,35,-1,-0.04,0.58,28.6,31.3,-2.7,-0.11,0.37,Matches
682,James Ward-Prowse,eng ENG,MF,Southampton,27,1994,38,"3,371",89,98.6,37.5,38,89,36,0,,0,0.66,36,72,-36,-0.96,0.88,37.5,59.8,-22.3,-0.6,1.15,Matches
683,Lewis Warrington,eng ENG,MF,Everton,19,2002,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
684,Ollie Watkins,eng ENG,FW,Aston Villa,26,1995,37,"3,127",85,91.4,34.7,36,86,26,1,25,0,1.57,47,40,7,0.2,0.82,44.8,47.1,-2.3,-0.07,-0.08,Matches
685,Adam Webster,eng ENG,DF,Brighton,27,1995,27,"1,985",74,58,22.1,23,85,17,4,7,4,1.74,41,27,14,0.63,0.32,43.8,24.9,18.8,0.85,0.58,Matches
686,Wout Weghorst,nl NED,"FW,MF",Manchester Utd,29,1992,17,797,47,23.3,8.9,10,67,3,7,18,3,1.65,11,11,0,0,-0.51,15.4,14.7,0.7,0.07,-0.5,Matches
687,Danny Welbeck,eng ENG,FW,Brighton,31,1990,31,"1,854",60,54.2,20.6,21,76,7,10,26,1,1.68,36,28,8,0.39,-0.24,37.2,26.2,11,0.53,-0.16,Matches
688,Reece Welch,eng ENG,DF,Everton,18,2003,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
689,Maxwell Wellings,eng ENG,DF,Bournemouth,17,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
690,Jack Wells-Morrison,eng ENG,MF,Crystal Palace,18,2004,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
691,Ben White,eng ENG,DF,Arsenal,24,1997,38,"3,055",80,89.3,33.9,36,83,21,2,27,0,2.21,80,35,45,1.33,1.33,63.3,36.7,26.7,0.79,-0.01,Matches
692,Harvey White,eng ENG,MF,Tottenham,20,2001,1,5,5,0.1,0.1,0,,0,1,5,2,3,0,0,0,0,-0.18,0,0,0,0.52,0.33,Matches
693,Joseph Whitworth,eng ENG,GK,Crystal Palace,18,2004,2,180,90,5.3,2,2,90,2,0,,12,0,1,5,-4,-2,-1.86,1.9,2.2,-0.2,-0.11,0.13,Matches
694,George Wickens,eng ENG,GK,Fulham,20,2001,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
695,Brandon Williams,eng ENG,DF,Manchester Utd,21,2000,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
696,Neco Williams,wls WAL,DF,Nott'ham Forest,21,2001,31,"1,882",61,55,20.9,20,85,15,11,16,2,0.94,18,41,-23,-1.1,-0.69,22.6,38.8,-16.2,-0.77,-0.26,Matches
697,Rhys Williams,eng ENG,DF,Liverpool,21,2001,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
698,Willian,br BRA,FW,Fulham,33,1988,27,"2,126",79,62.2,23.6,25,82,6,2,38,0,1.63,39,22,17,0.72,1.76,32.3,34.6,-2.2,-0.09,0.97,Matches
699,Joe Willock,eng ENG,MF,Newcastle Utd,22,1999,35,"2,558",73,74.8,28.4,31,79,8,4,28,0,1.97,56,26,30,1.06,0.53,53.4,29.1,24.3,0.85,0.01,Matches
700,Callum Wilson,eng ENG,FW,Newcastle Utd,30,1992,31,"1,877",61,54.9,20.9,21,76,2,10,28,1,1.97,44,16,28,1.34,0.93,41.1,22,19.1,0.92,0.14,Matches
701,Harry Wilson,wls WAL,FW,Fulham,25,1997,29,"1,100",38,32.2,12.2,13,69,1,16,13,1,1.31,21,15,6,0.49,0.65,15.5,21,-5.4,-0.44,0.03,Matches
702,Josh Wilson-Esbrand,eng ENG,DF,Manchester City,19,2002,0,,,,,0,,0,0,,8,,,,,,,,,,,,Matches
703,Yoane Wissa,cd COD,FW,Brentford,25,1996,38,"1,606",42,47,17.8,16,75,1,22,19,0,1.55,30,17,13,0.73,0.78,29,21.2,7.7,0.43,0.48,Matches
704,Maximilian Wöber,at AUT,DF,Leeds United,24,1998,16,"1,266",79,37,14.1,14,85,12,2,41,1,0.63,15,23,-8,-0.57,0.35,15.2,23.5,-8.3,-0.59,-0.11,Matches
705,Chris Wood,nz NZL,FW,Newcastle Utd,30,1991,18,446,25,13,5,4,72,0,14,11,1,1.94,8,3,5,1.01,0.1,6.8,4.1,2.6,0.53,-0.37,Matches
706,Chris Wood,nz NZL,FW,Nott'ham Forest,30,1991,7,372,53,10.9,4.1,5,71,0,2,9,0,0.86,3,6,-3,-0.73,0.07,3.1,7.4,-4.3,-1.04,-0.43,Matches
707,Joe Wormleighton,eng ENG,MF,Leicester City,18,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
708,Joe Worrall,eng ENG,DF,Nott'ham Forest,25,1997,30,"2,224",74,65,24.7,21,89,20,9,40,8,1.1,26,44,-18,-0.73,0.17,26.6,43.6,-16.9,-0.69,-0.08,Matches
709,James Wright,eng ENG,GK,Aston Villa,17,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
710,Granit Xhaka,ch SUI,MF,Arsenal,29,1992,37,"2,993",81,87.5,33.3,36,83,24,1,7,0,2.24,75,35,40,1.2,0.15,60.7,36.5,24.3,0.73,-0.46,Matches
711,Yehor Yarmoliuk,ua UKR,MF,Brentford,18,2004,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
712,Ryan Yates,eng ENG,MF,Nott'ham Forest,24,1997,26,"1,837",71,53.7,20.4,21,81,14,5,27,0,1.04,22,36,-14,-0.69,0.22,22.1,29,-6.9,-0.34,0.69,Matches
713,Ashley Young,eng ENG,DF,Aston Villa,37,1985,29,"2,036",70,59.5,22.6,23,82,15,6,25,9,1.69,27,28,-1,-0.04,-0.43,25.9,32,-6.1,-0.27,-0.52,Matches
714,Kadan Young,eng ENG,MF,Aston Villa,16,2006,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
715,Illia Zabarnyi,ua UKR,DF,Bournemouth,19,2002,5,299,60,8.7,3.3,3,90,3,2,15,6,0.6,0,5,-5,-1.51,-0.67,1.9,5,-3.2,-0.96,-0.32,Matches
716,Wilfried Zaha,ci CIV,"FW,MF",Crystal Palace,29,1992,27,"2,288",85,66.9,25.4,27,85,21,0,,0,1.22,22,34,-12,-0.47,-0.71,24.9,32.4,-7.5,-0.3,-0.2,Matches
717,Denis Zakaria,ch SUI,MF,Chelsea,25,1996,7,411,59,12,4.6,5,72,1,2,26,9,1,5,5,0,0,0.27,5.3,7.6,-2.4,-0.52,-0.49,Matches
718,Jordan Zemura,zw ZIM,DF,Bournemouth,22,1999,19,"1,454",77,42.5,16.2,17,83,12,2,23,5,0.95,14,31,-17,-1.05,-0.27,14,26.9,-12.9,-0.8,-0.24,Matches
719,Oleksandr Zinchenko,ua UKR,DF,Arsenal,25,1996,27,"2,118",78,61.9,23.5,26,81,8,1,18,0,2.26,54,28,26,1.1,-0.21,45.5,26.5,19,0.81,0.06,Matches
720,Hakim Ziyech,ma MAR,"FW,MF",Chelsea,29,1993,18,661,37,19.3,7.3,6,76,2,12,17,13,0.78,6,7,-1,-0.14,0.12,8.4,9.3,-0.9,-0.12,-0.06,Matches
721,Kurt Zouma,fr FRA,DF,West Ham,27,1994,25,"1,989",80,58.2,22.1,24,82,21,1,22,3,1.2,26,29,-3,-0.14,0.49,29.2,27.8,1.4,0.07,0.4,Matches
722,Oliwier Zych,pl POL,GK,Aston Villa,18,2004,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
723,Martin Ødegaard,no NOR,MF,Arsenal,23,1998,37,"3,127",85,91.4,34.7,37,85,14,0,,0,2.19,82,38,44,1.27,0.96,67.1,37.5,29.6,0.85,0.75,Matches
