Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches,-9999
394,Bobby Reid,jm JAM,MFFW,Fulham,27,1993,26.4,1080,49,212,466,415,75,1080,27,52,51.9,50,24,717,92,Matches,0f7533cd
395,Declan Rice,eng ENG,MF,West Ham,21,1999,32.0,1843,82,461,1111,304,41,1841,29,34,85.3,34,19,1205,32,Matches,1c7012b8
396,Lewis Richardson,eng ENG,FWMF,Burnley,17,2003,0.0,2,0,0,0,2,0,2,0,1,0.0,0,0,2,1,Matches,4fa62ae4
397,Richarlison,br BRA,FW,Everton,23,1997,31.8,1178,54,186,459,558,144,1177,61,102,59.8,70,56,833,157,Matches,fa031b34
398,Jaïro Riedewald,nl NED,MF,Crystal Palace,23,1996,20.2,818,38,211,472,148,15,818,13,19,68.4,28,9,482,18,Matches,7a1f2c08
399,Matt Ritchie,sct SCO,DFMF,Newcastle Utd,30,1989,15.0,740,55,219,293,235,10,740,8,15,53.3,12,5,378,23,Matches,71ef519e
400,Tyler Roberts,wls WAL,MFFW,Leeds United,21,1999,14.9,622,16,74,309,246,36,622,17,25,68.0,32,15,474,81,Matches,6c17e046
401,Andrew Robertson,sct SCO,DF,Liverpool,26,1994,37.6,3545,101,751,1643,1196,95,3545,28,53,52.8,42,11,2413,149,Matches,2e4f5f03
402,Antonee Robinson,us USA,DF,Fulham,22,1997,24.0,1648,80,458,684,533,33,1648,51,73,69.9,44,22,933,64,Matches,289601e6
403,Callum Robinson,ie IRL,FWMF,West Brom,25,1995,17.3,591,16,83,201,314,46,591,15,29,51.7,39,24,411,87,Matches,e75750a3
404,Jack Robinson,eng ENG,DF,Sheffield Utd,26,1993,9.7,563,51,216,271,81,6,563,3,4,75.0,5,2,309,2,Matches,7399c7a8
405,Hal Robson-Kanu,wls WAL,FW,West Brom,31,1989,6.2,176,7,14,64,101,17,176,6,14,42.9,30,16,127,31,Matches,fb2dec57
406,Marek Rodák,sk SVK,GK,Fulham,23,1996,2.0,51,46,51,0,0,0,51,0,0,,0,0,28,0,Matches,17acc2ed
407,Joe Rodon,wls WAL,DF,Tottenham,22,1997,8.1,515,85,295,217,5,2,515,0,0,,2,0,337,0,Matches,8d62d31a
408,Rodri,es ESP,MF,Manchester City,24,1996,30.5,3076,96,565,2017,519,43,3075,28,33,84.8,25,22,2342,25,Matches,6434f10d
409,Rodrigo,es ESP,MFFW,Leeds United,29,1991,14.3,729,18,115,311,312,66,729,16,25,64.0,39,21,582,117,Matches,1fb1c435
410,James Rodríguez,co COL,FWMF,Everton,29,1991,19.6,1305,7,173,756,388,33,1305,34,48,70.8,33,38,956,83,Matches,715bf047
411,Jay Rodriguez,eng ENG,FW,Burnley,31,1989,14.1,455,10,39,197,226,53,455,12,28,42.9,49,22,308,73,Matches,4ab53cdb
412,Oriol Romeu,es ESP,MF,Southampton,28,1991,19.6,1484,43,307,992,197,8,1484,14,17,82.4,23,18,1006,11,Matches,4b511457
413,John Ruddy,eng ENG,GK,Wolves,33,1986,1.0,24,20,24,0,0,0,24,0,0,,0,0,4,0,Matches,da8b19e2
414,Antonio Rüdiger,de GER,DF,Chelsea,27,1993,19.0,1686,159,738,869,90,17,1686,3,6,50.0,9,1,1298,3,Matches,18b896d6
415,Mathew Ryan,au AUS,GK,Arsenal,28,1992,3.0,75,53,70,4,1,1,75,0,0,,0,0,30,0,Matches,4535e4bb
416,Mathew Ryan,au AUS,GK,Brighton,28,1992,11.0,428,336,424,4,0,0,428,0,0,,0,0,258,0,Matches,4535e4bb
417,Allan Saint-Maximin,fr FRA,FWMF,Newcastle Utd,23,1997,17.3,654,3,64,318,296,53,654,96,145,66.2,55,52,512,63,Matches,2b16cb1a
418,Romain Saïss,ma MAR,DF,Wolves,30,1990,26.7,1785,187,882,774,138,35,1785,9,15,60.0,11,2,1147,12,Matches,9fbbcf39
419,Bukayo Saka,eng ENG,FWMF,Arsenal,18,2001,28.4,1488,39,215,518,771,142,1488,46,87,52.9,75,42,1087,191,Matches,bc7dc64d
420,Mamadou Sakho,fr FRA,DF,Crystal Palace,30,1990,3.1,121,24,58,58,5,2,121,0,0,,3,1,59,2,Matches,87935cf3
421,Mohamed Salah,eg EGY,FW,Liverpool,28,1992,34.2,1677,11,65,561,1064,269,1671,36,84,42.9,116,82,1405,309,Matches,e342ad68
422,Mohammed Salisu,gh GHA,DF,Southampton,21,1999,9.4,516,55,209,269,41,7,516,9,12,75.0,12,7,271,4,Matches,0b33f6ad
423,Davinson Sánchez,co COL,DF,Tottenham,24,1996,16.5,1202,169,676,517,12,8,1202,1,1,100.0,7,3,808,0,Matches,da7b447d
424,Robert Sánchez,es ESP,GK,Brighton,22,1997,27.0,1163,894,1149,12,2,2,1163,0,0,,4,0,679,0,Matches,6a713852
425,Morgan Sanson,fr FRA,MF,Aston Villa,25,1994,3.3,201,2,26,103,78,3,201,4,7,57.1,10,3,137,9,Matches,6e7f1353
426,Romaine Sawyers,kn SKN,MF,West Brom,28,1991,16.5,863,28,243,542,90,1,863,8,21,38.1,14,10,514,9,Matches,77bb1522
427,Dane Scarlett,eng ENG,FW,Tottenham,16,2004,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,Matches,21945a9e
428,Fabian Schär,ch SUI,DF,Newcastle Utd,28,1991,13.8,756,104,400,316,58,11,755,7,14,50.0,4,5,432,0,Matches,c8aa95da
429,Jeffrey Schlupp,gh GHA,MF,Crystal Palace,27,1992,15.9,656,24,131,313,220,43,656,31,64,48.4,32,41,407,56,Matches,3312f911
430,Kasper Schmeichel,dk DEN,GK,Leicester City,33,1986,38.0,1314,1104,1307,7,0,0,1314,1,2,50.0,0,0,627,0,Matches,53af52f3
431,Nélson Semedo,pt POR,DFMF,Wolves,26,1993,33.1,2329,129,598,1105,657,47,2329,62,103,60.2,53,27,1410,89,Matches,d04b94db
432,Femi Seriki,eng ENG,MF,Sheffield Utd,18,2002,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,Matches,e4e0deaa
433,Jamie Shackleton,eng ENG,MFDF,Leeds United,20,1999,5.1,248,11,64,117,69,9,248,3,3,100.0,7,1,160,15,Matches,8d03ca5a
434,Xherdan Shaqiri,ch SUI,MFFW,Liverpool,28,1991,6.2,473,2,45,205,231,11,473,6,9,66.7,13,7,363,26,Matches,6421ec64
435,Billy Sharp,eng ENG,FW,Sheffield Utd,34,1986,8.2,186,1,6,61,119,31,184,5,12,41.7,18,16,137,54,Matches,e8c9f4e9
436,Luke Shaw,eng ENG,DF,Manchester Utd,25,1995,29.5,2267,83,530,914,861,63,2267,36,56,64.3,25,21,1424,102,Matches,9c94165b
437,Jonjo Shelvey,eng ENG,MF,Newcastle Utd,28,1992,29.1,1729,78,470,997,282,22,1729,20,26,76.9,19,5,1083,20,Matches,3727dd3c
438,Shola Shoretire,eng ENG,FW,Manchester Utd,16,2004,0.1,11,0,1,6,4,0,11,0,0,,2,0,9,2,Matches,00f0482f
439,Gylfi Sigurðsson,is ISL,MFFW,Everton,30,1989,25.0,1210,37,219,576,423,44,1206,14,26,53.8,45,28,740,65,Matches,76dd1480
440,Bernardo Silva,pt POR,MFFW,Manchester City,25,1994,22.9,1619,13,174,734,731,84,1619,41,65,63.1,33,23,1298,108,Matches,3eb22ec9
441,Fábio Silva,pt POR,FW,Wolves,18,2002,15.2,504,9,42,232,231,79,503,7,21,33.3,45,21,357,75,Matches,e7aa9d7c
442,Thiago Silva,br BRA,DF,Chelsea,35,1984,21.5,2131,243,932,1148,53,19,2131,2,3,66.7,8,2,1633,1,Matches,86e7deaf
443,Moussa Sissoko,fr FRA,MF,Tottenham,30,1989,17.6,950,52,267,529,169,11,950,18,27,66.7,18,14,592,24,Matches,2acd49b9
444,Islam Slimani,dz ALG,FW,Leicester City,32,1988,0.2,12,0,0,6,6,2,12,0,0,,1,0,10,4,Matches,ffec9769
445,William Smallbone,ie IRL,MF,Southampton,20,2000,1.9,95,1,11,55,30,1,95,0,0,,2,2,62,6,Matches,5e105217
446,Emile Smith Rowe,eng ENG,MFFW,Arsenal,20,2000,16.0,883,15,143,394,358,45,883,10,30,33.3,38,7,700,82,Matches,17695062
447,Robert Snodgrass,sct SCO,MFFW,West Brom,32,1987,5.8,215,19,62,90,66,9,215,4,8,50.0,8,4,104,15,Matches,9f4647e9
448,Robert Snodgrass,sct SCO,FWMF,West Ham,32,1987,0.1,4,0,1,0,3,0,4,0,0,,0,0,4,0,Matches,9f4647e9
449,Cédric Soares,pt POR,DF,Arsenal,28,1991,8.3,536,21,143,236,165,12,536,5,11,45.5,10,9,333,14,Matches,839c14e1
450,Tomáš Souček,cz CZE,MF,West Ham,25,1995,38.0,2078,156,575,1134,386,102,2078,16,29,55.2,42,21,1163,47,Matches,6613c819
451,Çağlar Söyüncü,tr TUR,DF,Leicester City,24,1996,20.2,1606,136,700,846,67,25,1606,4,6,66.7,8,4,1133,1,Matches,21166ff4
452,Zack Steffen,us USA,GK,Manchester City,25,1995,1.0,30,26,30,0,0,0,30,0,0,,0,0,19,0,Matches,42130443
453,Dale Stephens,eng ENG,MF,Burnley,31,1989,2.9,157,2,22,104,31,4,157,1,2,50.0,3,5,79,0,Matches,653ee42d
454,Jack Stephens,eng ENG,DF,Southampton,26,1994,17.1,1238,115,537,641,69,11,1238,2,5,40.0,12,5,801,2,Matches,6adbc307
455,Raheem Sterling,eng ENG,FW,Manchester City,25,1994,28.2,1444,4,67,569,825,216,1443,66,122,54.1,62,83,1230,236,Matches,b400bde0
456,Enda Stevens,ie IRL,DF,Sheffield Utd,30,1990,30.0,1770,110,526,784,476,45,1770,20,35,57.1,45,29,986,38,Matches,17d4507a
457,John Stones,eng ENG,DF,Manchester City,26,1994,21.5,1886,137,676,1099,119,17,1886,10,11,90.9,4,2,1515,2,Matches,5eecec3d
458,Pascal Struijk,nl NED,DFMF,Leeds United,20,1999,23.1,1578,200,893,613,77,20,1578,4,5,80.0,10,9,1008,6,Matches,f4d296e4
459,Japhet Tanganga,eng ENG,DF,Tottenham,21,1999,5.4,275,25,102,126,54,4,275,9,13,69.2,2,5,153,6,Matches,e9971f2d
460,Matt Targett,eng ENG,DF,Aston Villa,24,1995,37.8,2497,159,765,1083,670,35,2497,15,25,60.0,24,6,1345,80,Matches,e514ab62
461,James Tarkowski,eng ENG,DF,Burnley,27,1992,36.0,1675,245,814,735,131,65,1675,12,14,85.7,17,4,788,12,Matches,15ea812b
462,Percy Tau,za RSA,FW,Brighton,26,1994,1.1,43,1,5,20,19,2,43,3,3,100.0,5,1,29,6,Matches,4d0eb7d2
463,Sidnei Tavares,pt POR,MF,Leicester City,18,2001,0.9,33,0,6,20,8,0,33,1,1,100.0,2,3,26,5,Matches,3add8ed8
464,Charlie Taylor,eng ENG,DF,Burnley,26,1993,27.0,1600,127,514,745,354,10,1600,25,47,53.2,21,9,835,13,Matches,cc2d7ad5
465,Neil Taylor,wls WAL,DF,Aston Villa,31,1989,0.2,12,1,6,4,2,0,12,0,0,,0,0,8,0,Matches,c2f9d19f
466,Allan Tchaptchet,fr FRA,DF,Southampton,18,2001,0.1,2,1,2,0,0,0,2,0,0,,1,0,1,0,Matches,ab7d7882
467,Nathan Tella,eng ENG,FWMF,Southampton,21,1999,8.3,261,0,29,111,128,21,261,11,25,44.0,35,23,175,31,Matches,f1e94cd6
468,Alex Telles,br BRA,DF,Manchester Utd,27,1992,7.7,665,28,171,314,185,3,665,3,7,42.9,5,5,414,16,Matches,e73c9bb2
469,Kenny Tete,nl NED,DFMF,Fulham,24,1995,16.5,1053,65,354,438,275,19,1053,10,19,52.6,19,8,597,41,Matches,77d7c96f
470,William Thomas Fish,eng ENG,FW,Manchester Utd,17,2003,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,Matches,b2ee9d2c
471,Luke Thomas,eng ENG,DF,Leicester City,19,2001,10.8,614,27,160,275,186,16,614,6,18,33.3,15,12,356,20,Matches,fc027d02
472,Youri Tielemans,be BEL,MF,Leicester City,23,1997,37.3,2994,53,549,1765,712,44,2992,43,64,67.2,41,35,2116,60,Matches,56f7a928
473,Kieran Tierney,sct SCO,DF,Arsenal,23,1997,25.5,1718,94,506,647,583,44,1718,16,30,53.3,24,14,1101,82,Matches,fce2302c
474,James Tomkins,eng ENG,DF,Crystal Palace,31,1989,6.1,245,55,172,67,6,6,245,0,0,,3,0,124,1,Matches,e7ca0439
475,Fikayo Tomori,eng ENG,DF,Chelsea,22,1997,0.5,41,16,36,5,0,0,41,0,0,,0,0,22,0,Matches,7edfbb8a
476,Ferrán Torres,es ESP,FWMF,Manchester City,20,2000,14.5,594,9,52,201,353,67,594,20,46,43.5,25,21,468,70,Matches,9e1035f8
477,Cenk Tosun,tr TUR,FW,Everton,29,1991,0.5,16,0,2,5,9,2,16,0,0,,1,0,13,4,Matches,9a104dee
478,Andros Townsend,eng ENG,MFFW,Crystal Palace,29,1991,25.1,1208,30,262,503,484,32,1208,44,73,60.3,47,56,693,63,Matches,b28bbd58
479,Conor Townsend,eng ENG,DF,West Brom,27,1993,24.8,1420,97,467,655,316,28,1420,11,27,40.7,33,7,770,23,Matches,4dc4f138
480,Adama Traoré,es ESP,FWMF,Wolves,24,1996,29.4,1270,20,122,566,626,105,1270,153,216,70.8,112,65,978,130,Matches,9a28eba4
481,Bertrand Traoré,bf BFA,FW,Aston Villa,24,1995,25.7,1125,23,160,448,533,98,1125,52,97,53.6,69,26,763,78,Matches,c47541e0
482,Trézéguet,eg EGY,FW,Aston Villa,25,1994,13.0,505,17,90,190,235,65,505,17,31,54.8,28,13,308,53,Matches,3ae14ed1
483,Leandro Trossard,be BEL,MFFW,Brighton,25,1994,29.0,1386,5,133,557,715,110,1386,39,68,57.4,67,60,974,178,Matches,38ceb24a
484,Kostas Tsimikas,gr GRE,DFFW,Liverpool,24,1996,0.1,9,0,1,3,5,0,9,0,0,,1,0,8,0,Matches,f315ca93
485,Axel Tuanzebe,eng ENG,DF,Manchester Utd,22,1997,4.5,318,41,163,137,18,0,318,0,2,0.0,2,1,212,1,Matches,2baec6ce
486,Cengiz Ünder,tr TUR,FWMF,Leicester City,23,1997,3.1,167,2,12,59,99,8,167,15,23,65.2,8,9,132,27,Matches,1880614f
487,Yan Valery,tn TUN,DFMF,Southampton,21,1999,1.1,94,5,34,37,24,1,94,0,4,0.0,6,5,47,4,Matches,531a4aa8
488,Virgil van Dijk,nl NED,DF,Liverpool,29,1991,4.1,364,23,123,231,12,5,364,0,0,,1,0,295,1,Matches,e06683ca
489,Jamie Vardy,eng ENG,FW,Leicester City,33,1987,31.6,706,34,56,242,416,162,697,26,41,63.4,58,12,496,185,Matches,45963054
490,Joël Veltman,nl NED,DF,Brighton,28,1992,25.3,1792,93,555,860,399,32,1792,18,36,50.0,17,7,1034,35,Matches,dad4b285
491,Jannik Vestergaard,dk DEN,DF,Southampton,27,1992,28.6,2067,265,997,988,98,45,2067,7,10,70.0,13,6,1396,3,Matches,1900032e
492,Rúben Vinagre,pt POR,MFDF,Wolves,21,1999,1.9,118,2,34,55,30,0,118,2,4,50.0,1,6,70,4,Matches,b937e490
493,Carlos Vinícius,br BRA,FW,Tottenham,25,1995,3.4,95,7,11,46,39,15,95,3,4,75.0,17,7,70,11,Matches,8b529245
494,João Virgínia,pt POR,GK,Everton,20,1999,0.5,19,18,19,0,0,0,19,0,0,,0,0,9,0,Matches,728e9b2e
495,Vitinha,pt POR,MF,Wolves,20,2000,5.8,387,2,31,239,121,8,387,8,12,66.7,17,3,309,15,Matches,3b029691
496,Jake Vokins,eng ENG,DF,Southampton,20,2000,0.7,21,0,3,11,7,0,21,0,0,,0,0,14,1,Matches,d484c261
497,Matěj Vydra,cz CZE,FW,Burnley,28,1992,15.2,405,9,15,140,254,88,405,16,26,61.5,52,22,311,113,Matches,0d4ceb32
498,Theo Walcott,eng ENG,MFFW,Southampton,31,1989,18.0,641,13,89,269,288,60,641,17,51,33.3,56,27,451,89,Matches,1ecb65be
499,Theo Walcott,eng ENG,FW,Everton,31,1989,0.1,2,0,0,1,1,0,2,0,0,,1,0,2,0,Matches,1ecb65be
500,Kyle Walker,eng ENG,DF,Manchester City,30,1990,21.6,2081,49,373,1324,408,14,2081,24,41,58.5,16,17,1584,35,Matches,86dd77d1
501,Kyle Walker-Peters,eng ENG,DF,Southampton,23,1997,29.4,1998,101,581,1053,402,51,1998,46,65,70.8,37,49,1126,72,Matches,984a5a64
502,Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,22,1997,34.0,2513,116,799,1071,668,32,2513,34,60,56.7,34,21,1545,72,Matches,9e525177
503,Joel Ward,eng ENG,DF,Crystal Palace,30,1989,25.1,1352,115,536,576,250,9,1352,12,16,75.0,24,8,559,12,Matches,8a7ff278
504,James Ward-Prowse,eng ENG,MF,Southampton,25,1994,38.0,3039,107,611,1835,619,23,3036,17,22,77.3,33,14,1819,42,Matches,3515d404
505,Ollie Watkins,eng ENG,FW,Aston Villa,24,1995,37.0,1226,28,59,437,747,223,1224,40,70,57.1,116,85,997,260,Matches,aed3a70f
506,Caleb Watts,au AUS,MF,Southampton,18,2002,0.4,18,1,5,8,5,0,18,0,0,,1,1,13,1,Matches,c7170b46
507,Adam Webster,eng ENG,DF,Brighton,25,1995,28.8,2125,202,969,1015,158,33,2125,17,17,100.0,27,6,1454,2,Matches,c40b6180
508,Danny Welbeck,eng ENG,FW,Brighton,29,1990,17.2,445,16,44,153,254,83,444,18,33,54.5,51,13,309,82,Matches,ce5143da
509,Timo Werner,de GER,FWMF,Chelsea,24,1996,28.9,1138,5,82,444,623,175,1138,29,80,36.3,86,28,904,210,Matches,49fe9070
510,Ashley Westwood,eng ENG,MF,Burnley,30,1990,37.9,2456,56,345,1570,560,19,2456,13,19,68.4,29,11,1556,26,Matches,495945ef
511,Ben White,eng ENG,DFMF,Brighton,22,1997,35.5,2111,169,889,1018,226,22,2111,24,32,75.0,23,10,1417,18,Matches,35e413f1
512,Georginio Wijnaldum,nl NED,MF,Liverpool,29,1990,32.7,2002,30,279,1260,485,44,2002,34,51,66.7,38,27,1514,58,Matches,eb58eef0
513,Brandon Williams,eng ENG,DF,Manchester Utd,19,2000,2.1,158,8,67,72,21,2,158,2,4,50.0,2,1,107,3,Matches,5e74d6c8
514,Neco Williams,wls WAL,DF,Liverpool,19,2001,2.8,240,4,53,100,92,7,240,5,7,71.4,1,3,154,10,Matches,dd323728
515,Rhys Williams,eng ENG,DF,Liverpool,19,2001,7.3,558,71,264,279,17,10,558,0,0,,0,0,379,1,Matches,012c975a
516,Willian,br BRA,FW,Arsenal,31,1988,15.6,901,9,103,322,481,35,901,13,18,72.2,23,15,664,68,Matches,8b9ebd03
517,Joe Willock,eng ENG,MF,Arsenal,20,1999,2.6,135,8,22,62,57,15,135,4,9,44.4,13,3,87,11,Matches,a3b03921
518,Joe Willock,eng ENG,MF,Newcastle Utd,20,1999,10.9,400,17,120,179,113,35,400,22,40,55.0,21,16,207,29,Matches,a3b03921
519,Callum Wilson,eng ENG,FW,Newcastle Utd,28,1992,23.2,596,17,46,265,300,90,592,26,43,60.5,73,39,441,105,Matches,c596fcb0
520,Harry Winks,eng ENG,MF,Tottenham,24,1996,9.6,757,26,171,517,75,0,757,4,5,80.0,6,3,564,1,Matches,2f7acede
521,Chris Wood,nz NZL,FW,Burnley,28,1991,30.5,922,24,60,374,494,126,920,7,21,33.3,79,44,759,217,Matches,4e9a0555
522,Granit Xhaka,ch SUI,MFDF,Arsenal,27,1992,28.0,2425,96,521,1558,361,9,2425,8,16,50.0,20,12,1804,21,Matches,e61b8aee
523,Andriy Yarmolenko,ua UKR,FWMF,West Ham,30,1989,4.2,197,4,34,82,85,15,197,6,12,50.0,12,10,148,26,Matches,849c826a
524,DeAndre Yedlin,us USA,DF,Newcastle Utd,27,1993,4.8,225,17,80,81,64,5,225,1,2,50.0,7,1,117,8,Matches,ae0a7ddf
525,Okay Yokuşlu,tr TUR,MF,West Brom,26,1994,14.6,722,57,234,410,93,10,722,19,25,76.0,23,9,321,6,Matches,e49ce451
526,Wilfried Zaha,ci CIV,FW,Crystal Palace,27,1992,29.0,1163,2,84,469,629,149,1161,55,117,47.0,108,77,941,183,Matches,b2bc3b1f
527,Andre-Frank Zambo Anguissa,cm CMR,MF,Fulham,24,1995,28.7,1827,38,368,1055,453,40,1827,96,143,67.1,72,50,1190,56,Matches,6bb2c084
528,Andi Zeqiri,ch SUI,FWDF,Brighton,21,1999,1.9,70,4,9,21,40,14,70,1,1,100.0,8,1,45,10,Matches,d01231f0
529,Oleksandr Zinchenko,ua UKR,DF,Manchester City,23,1996,16.4,1634,45,318,909,411,11,1634,6,9,66.7,15,6,1195,39,Matches,51cf8561
530,Hakim Ziyech,ma MAR,MFFW,Chelsea,27,1993,13.0,864,9,65,391,418,35,864,19,35,54.3,29,16,687,77,Matches,6622454d
531,Kurt Zouma,fr FRA,DF,Chelsea,25,1994,22.5,1998,249,923,999,78,35,1998,2,4,50.0,7,4,1525,7,Matches,ce4246f5
532,Martin Ødegaard,no NOR,MF,Arsenal,21,1998,9.6,593,6,56,281,262,21,593,13,17,76.5,14,11,460,40,Matches,79300479
