Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches,-9999
264,Bernd Leno,de GER,GK,Arsenal,28,1992,34.8,1245,1025,1225,19,1,1,1245,0,0,,0,1,633,0,Matches,2628fd2b
265,Khanya Leshabela,za RSA,MF,Leicester City,20,1999,0.1,9,0,1,6,3,0,9,0,0,,0,1,7,1,Matches,383e68b1
266,Jamal Lewis,nir NIR,DF,Newcastle Utd,22,1998,20.4,1017,62,388,432,209,8,1017,12,24,50.0,17,13,550,17,Matches,efb9215a
267,Victor Lindelöf,se SWE,DF,Manchester Utd,26,1994,28.7,2087,262,1059,958,79,8,2087,2,4,50.0,9,3,1486,3,Matches,f5deef4c
268,Jesse Lingard,eng ENG,MFFW,West Ham,27,1992,15.8,826,4,63,402,375,43,824,18,43,41.9,28,22,645,61,Matches,810e3c74
269,Jake Livermore,eng ENG,MF,West Brom,30,1989,13.8,520,46,153,299,75,8,520,2,5,40.0,15,7,241,6,Matches,b98570d1
270,Diego Llorente,es ESP,DF,Leeds United,26,1993,13.4,871,122,548,308,22,9,871,6,8,75.0,11,7,529,2,Matches,bba30585
271,Hugo Lloris,fr FRA,GK,Tottenham,33,1986,38.0,1148,1034,1146,2,0,0,1148,0,0,,1,1,420,0,Matches,8f62b6ee
272,Giovani Lo Celso,ar ARG,MF,Tottenham,24,1996,10.5,711,13,92,405,225,21,711,8,20,40.0,21,14,491,30,Matches,d7553721
273,Ruben Loftus-Cheek,eng ENG,FW,Chelsea,24,1996,0.7,25,0,5,15,5,0,25,0,3,0.0,2,1,18,2,Matches,e97fd090
274,Ruben Loftus-Cheek,eng ENG,MFFW,Fulham,24,1996,21.2,987,20,115,538,357,67,987,38,72,52.8,73,41,751,99,Matches,e97fd090
275,Kevin Long,ie IRL,DF,Burnley,29,1990,7.1,323,37,175,136,13,9,323,0,0,,1,0,159,1,Matches,5a4280b1
276,Shane Long,ie IRL,FW,Southampton,33,1987,2.3,85,1,8,40,38,5,85,2,5,40.0,5,7,61,7,Matches,9f472354
277,Matthew Longstaff,eng ENG,MF,Newcastle Utd,20,2000,4.2,175,8,48,100,28,1,175,2,2,100.0,1,1,93,2,Matches,c0027d2d
278,Sean Longstaff,eng ENG,MF,Newcastle Utd,22,1997,15.7,744,30,178,415,154,16,744,4,9,44.4,17,6,440,18,Matches,a2b105e0
279,Ademola Lookman,ng NGA,FWMF,Fulham,22,1997,30.5,1553,12,144,645,796,129,1552,82,128,64.1,107,73,1055,159,Matches,7c104bb7
280,Max Lowe,eng ENG,DF,Sheffield Utd,23,1997,6.1,287,20,79,109,100,11,287,7,11,63.6,8,4,156,9,Matches,7af88b33
281,Matthew Lowton,eng ENG,DF,Burnley,31,1989,34.0,1868,137,558,893,436,20,1868,27,40,67.5,38,10,915,32,Matches,9a9c05db
282,David Luiz,br BRA,DF,Arsenal,33,1987,15.5,1144,129,557,530,60,19,1144,3,4,75.0,4,2,843,1,Matches,c0e27d1a
283,Douglas Luiz,br BRA,MF,Aston Villa,22,1998,30.9,1717,105,464,994,290,16,1717,23,32,71.9,25,18,1018,29,Matches,6f7d826d
284,John Lundstram,eng ENG,MF,Sheffield Utd,26,1994,22.6,1264,41,245,610,423,23,1263,15,24,62.5,29,19,871,47,Matches,0df2b165
285,Alexis Mac Allister,ar ARG,MFFW,Brighton,21,1998,12.4,551,8,94,251,216,33,551,16,26,61.5,28,16,365,52,Matches,83d074ff
