Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches,-9999
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,29,1990,19.7,30,1.52,27,2,1,0,0,0,3,0.15,2,1,0,0,0,0,Matches,5f09991f
2,Tammy Abraham,eng ENG,FW,Chelsea,22,1997,11.6,17,1.47,9,0,2,4,2,0,2,0.17,1,0,0,0,1,0,Matches,f586779e
3,Che Adams,sct SCO,FW,Southampton,24,1996,29.6,68,2.29,50,0,2,7,9,0,7,0.24,6,0,0,0,1,0,Matches,f2bf1b0f
4,Tosin Adarabioyo,eng ENG,DF,Fulham,22,1997,32.8,18,0.55,18,0,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches,c81d773d
5,Adrián,es ESP,GK,Liverpool,33,1987,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,f76e6b4e
6,Sergio Agüero,ar ARG,FW,Manchester City,32,1988,6.2,17,2.74,12,0,3,1,0,1,3,0.48,2,0,1,0,0,0,Matches,4d034881
7,Ola Aina,ng NGA,DF,Fulham,23,1996,29.6,27,0.91,23,3,0,0,1,0,4,0.14,4,0,0,0,0,0,Matches,246d153b
8,Rayan Aït Nouri,fr FRA,DF,Wolves,19,2001,15.6,32,2.05,21,4,6,0,1,0,1,0.06,1,0,0,0,0,0,Matches,9b398aea
9,Semi Ajayi,ng NGA,DF,West Brom,26,1993,30.9,14,0.45,13,0,1,0,0,0,2,0.06,2,0,0,0,0,0,Matches,d6192210
10,Nathan Aké,nl NED,DF,Manchester City,25,1995,8.9,5,0.56,4,0,0,0,1,0,1,0.11,1,0,0,0,0,0,Matches,eaeca114
11,Marc Albrighton,eng ENG,DFFW,Leicester City,30,1989,19.4,77,3.97,59,5,5,2,3,3,12,0.62,8,2,0,1,0,1,Matches,b827d5b3
12,Thiago Alcántara,es ESP,MF,Liverpool,29,1991,20.6,81,3.93,69,2,2,3,3,2,3,0.15,2,0,0,1,0,0,Matches,77e84962
13,Toby Alderweireld,be BEL,DF,Tottenham,31,1989,24.9,22,0.88,19,0,0,3,0,0,3,0.12,3,0,0,0,0,0,Matches,f7d50789
14,Rúnar Alex Rúnarsson,is ISL,GK,Arsenal,25,1995,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,8fa8f8d2
15,Trent Alexander-Arnold,eng ENG,DF,Liverpool,21,1998,33.7,130,3.86,83,34,6,7,0,0,12,0.36,7,2,1,2,0,0,Matches,cd1acf9d
16,Ezgjan Alioski,mk MKD,DFMF,Leeds United,28,1992,27.3,71,2.60,57,5,0,5,3,1,5,0.18,3,1,0,1,0,0,Matches,1a7fcf39
17,Alisson,br BRA,GK,Liverpool,27,1992,33.0,5,0.15,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,7a2e46a8
18,Allan,br BRA,MF,Everton,29,1991,22.8,39,1.71,33,1,4,1,0,0,2,0.09,2,0,0,0,0,0,Matches,cc700722
19,Dele Alli,eng ENG,MF,Tottenham,24,1996,6.9,22,3.19,19,0,0,1,1,1,0,0.00,0,0,0,0,0,0,Matches,cea4ee8f
20,Miguel Almirón,py PAR,MFFW,Newcastle Utd,26,1994,27.0,76,2.82,54,3,8,4,5,2,6,0.22,4,0,0,1,0,1,Matches,862a1c15
21,Marcos Alonso,es ESP,DF,Chelsea,29,1990,10.7,36,3.38,29,2,0,5,0,0,3,0.28,2,0,0,1,0,0,Matches,f4290206
22,Steven Alzate,co COL,MF,Brighton,21,1998,10.0,24,2.41,20,0,1,3,0,0,1,0.10,1,0,0,0,0,0,Matches,ad1f61f3
23,Daniel Amartey,gh GHA,DF,Leicester City,25,1994,8.0,5,0.62,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,1a4ef233
24,Ethan Ampadu,wls WAL,DFMF,Sheffield Utd,19,2000,23.2,20,0.86,17,2,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,10b9fa99
25,Joachim Andersen,dk DEN,DF,Fulham,24,1996,30.3,30,0.99,28,0,0,1,1,0,3,0.10,3,0,0,0,0,0,Matches,e34fc66d
26,Elliot Anderson,sct SCO,MF,Newcastle Utd,17,2002,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,de31038e
27,Felipe Anderson,br BRA,FWMF,West Ham,27,1993,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,9f1893b9
28,Michail Antonio,jm JAM,FW,West Ham,30,1990,21.9,75,3.42,41,1,10,8,15,0,11,0.50,5,1,0,2,3,0,Matches,ac05f970
29,Alphonse Areola,fr FRA,GK,Fulham,27,1993,36.0,2,0.06,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,2f965a72
30,Stuart Armstrong,sct SCO,MF,Southampton,28,1992,30.7,91,2.96,64,3,7,6,8,3,15,0.49,7,0,2,3,2,1,Matches,97333cf5
31,Kepa Arrizabalaga,es ESP,GK,Chelsea,25,1994,6.5,3,0.46,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,28d596a0
32,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,31,1989,25.9,48,1.85,40,0,3,2,3,0,7,0.27,6,0,1,0,0,0,Matches,d5dd5f1f
33,Serge Aurier,ci CIV,DF,Tottenham,27,1992,17.8,38,2.13,26,1,4,4,1,2,5,0.28,3,1,1,0,0,0,Matches,5c2b4f07
34,Charlie Austin,eng ENG,FWMF,West Brom,31,1989,1.5,1,0.66,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,8d228291
35,Jordan Ayew,gh GHA,FWMF,Crystal Palace,28,1991,23.3,39,1.67,26,0,2,5,6,0,7,0.30,5,0,0,1,1,0,Matches,da052c14
36,Luke Ayling,eng ENG,DF,Leeds United,28,1991,37.8,52,1.38,43,2,3,1,3,0,4,0.11,4,0,0,0,0,0,Matches,420d7c7d
37,César Azpilicueta,es ESP,DF,Chelsea,30,1989,24.3,50,2.06,45,2,0,1,1,1,6,0.25,5,0,0,1,0,0,Matches,53cad200
