Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
493,Carlos Vinícius,br BRA,FW,Tottenham,25,1995,3.4,1,7,4,57.1,2.05,1.17,0.14,0.25,12.1,0,0,0,1.2,1.2,0.18,-0.2,-0.2,Matches,8b529245
494,João Virgínia,pt POR,GK,Everton,20,1999,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,728e9b2e
495,Vitinha,pt POR,MF,Wolves,20,2000,5.8,0,8,4,50.0,1.38,0.69,0.00,0.00,22.6,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches,3b029691
496,Jake Vokins,eng ENG,DF,Southampton,20,2000,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,d484c261
497,Matěj Vydra,cz CZE,FW,Burnley,28,1992,15.2,3,35,9,25.7,2.30,0.59,0.09,0.33,13.7,0,0,0,5.2,5.2,0.15,-2.2,-2.2,Matches,0d4ceb32
498,Theo Walcott,eng ENG,MFFW,Southampton,31,1989,18.0,3,29,11,37.9,1.61,0.61,0.10,0.27,20.2,0,0,0,2.3,2.3,0.08,+0.7,+0.7,Matches,1ecb65be
499,Theo Walcott,eng ENG,FW,Everton,31,1989,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,1ecb65be
500,Kyle Walker,eng ENG,DF,Manchester City,30,1990,21.6,1,10,3,30.0,0.46,0.14,0.10,0.33,29.2,0,0,0,0.3,0.3,0.03,+0.7,+0.7,Matches,86dd77d1
501,Kyle Walker-Peters,eng ENG,DF,Southampton,23,1997,29.4,0,18,7,38.9,0.61,0.24,0.00,0.00,18.8,0,0,0,1.0,1.0,0.06,-1.0,-1.0,Matches,984a5a64
502,Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,22,1997,34.0,2,7,4,57.1,0.21,0.12,0.29,0.50,15.2,0,0,0,0.9,0.9,0.14,+1.1,+1.1,Matches,9e525177
503,Joel Ward,eng ENG,DF,Crystal Palace,30,1989,25.1,0,2,1,50.0,0.08,0.04,0.00,0.00,26.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,8a7ff278
504,James Ward-Prowse,eng ENG,MF,Southampton,25,1994,38.0,8,39,20,51.3,1.03,0.53,0.13,0.25,26.8,20,3,4,5.7,2.5,0.06,+2.3,+2.5,Matches,3515d404
